id,date,username,text,like_count,retweet_count,cleaned,sentiment,sentiment_label
48,2023-12-24,engene,LOONA legends #Orbit,775,33,loona legends #orbit,0.0,netral
49,2023-07-12,exolegend,BIGBANG changed KPOP industry #VIP,648,77,bigbang changed kpop industry #vip,0.0,netral
50,2023-06-28,stayforever,SHINee forever kings #Shawol,810,66,shinee forever kings #shawol,0.0,netral
51,2023-10-17,oncefan,Stray Kids are dominating the stage! #STAY,590,489,stray kids are dominating the stage! #stay,0.0,netral
52,2023-01-12,vipfan,Red Velvet vocals are insane 🎶 #ReVeluv,132,73,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
53,2023-01-24,armyblink,LOONA legends #Orbit,612,273,loona legends #orbit,0.0,netral
54,2023-11-21,engene,BTS x BLACKPINK collab dream? 😱,989,390,bts x blackpink collab dream? 😱,0.0,netral
55,2023-06-17,midzy,GFriend songs always touch my heart 💕,772,352,gfriend songs always touch my heart 💕,0.0,netral
56,2023-12-23,vipfan,Itzy charisma is no joke #MIDZY,549,401,itzy charisma is no joke #midzy,0.0,netral
57,2023-03-16,blinkkpop,LE SSERAFIM slaying stages #FEARLESS,499,286,le sserafim slaying stages #fearless,0.0,netral
58,2023-06-12,vipfan,Twice performance is so powerful #ONCE,699,416,twice performance is so powerful #once,0.3,positif
59,2023-04-18,shawol,LE SSERAFIM slaying stages #FEARLESS,321,470,le sserafim slaying stages #fearless,0.0,netral
60,2023-12-24,nctzenlife,Idle rising so strong #Neverland,693,210,idle rising so strong #neverland,0.43333333333333335,positif
61,2023-07-21,armyblink,BTS paved the way #Army,524,319,bts paved the way #army,0.0,netral
62,2023-06-11,neverland,LOONA legends #Orbit,371,69,loona legends #orbit,0.0,netral
63,2023-03-06,engene,Seventeen world tour is amazing! #CARAT,84,54,seventeen world tour is amazing! #carat,0.7500000000000001,positif
64,2023-03-02,stayforever,Idle rising so strong #Neverland,413,135,idle rising so strong #neverland,0.43333333333333335,positif
65,2023-08-14,moaarmy,LOONA legends #Orbit,737,270,loona legends #orbit,0.0,netral
66,2023-12-28,nctzenlife,EXO still kings of KPOP 🔥,875,427,exo still kings of kpop 🔥,0.0,netral
67,2023-06-27,reveluv,BTS x BLACKPINK collab dream? 😱,284,300,bts x blackpink collab dream? 😱,0.0,netral
68,2023-10-20,engene,NCT comeback soon! Can't wait 😍,936,211,nct comeback soon! can't wait 😍,0.0,netral
69,2023-04-15,oncefan,BTS x BLACKPINK collab dream? 😱,379,348,bts x blackpink collab dream? 😱,0.0,netral
70,2023-04-26,armyblink,I love BTS so much! KPOP forever 💜,426,346,i love bts so much! kpop forever 💜,0.375,positif
71,2023-06-23,vipfan,LE SSERAFIM slaying stages #FEARLESS,316,34,le sserafim slaying stages #fearless,0.0,netral
72,2023-07-07,armylover,TXT are the future of KPOP 💙,636,439,txt are the future of kpop 💙,0.0,netral
73,2023-10-19,oncefan,BLACKPINK just dropped a new MV 🔥 #KPOP,778,399,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
74,2023-05-09,armyforever,Stray Kids are dominating the stage! #STAY,567,112,stray kids are dominating the stage! #stay,0.0,netral
75,2023-05-29,shawol,"Enhypen growing so fast, proud! #ENGENE",842,254,"enhypen growing so fast, proud! #engene",0.6,positif
76,2023-04-11,blinkkpop,GFriend songs always touch my heart 💕,78,202,gfriend songs always touch my heart 💕,0.0,netral
77,2023-09-15,orbitluv,Seventeen world tour is amazing! #CARAT,175,139,seventeen world tour is amazing! #carat,0.7500000000000001,positif
78,2023-01-20,moaarmy,LOONA legends #Orbit,402,175,loona legends #orbit,0.0,netral
79,2023-08-15,fearless,I love BTS so much! KPOP forever 💜,858,445,i love bts so much! kpop forever 💜,0.375,positif
80,2023-02-21,moaarmy,Itzy charisma is no joke #MIDZY,560,54,itzy charisma is no joke #midzy,0.0,netral
81,2023-09-02,stayforever,Idle rising so strong #Neverland,584,447,idle rising so strong #neverland,0.43333333333333335,positif
82,2023-12-29,engene,Seventeen world tour is amazing! #CARAT,642,158,seventeen world tour is amazing! #carat,0.7500000000000001,positif
83,2023-11-11,shawol,I love BTS so much! KPOP forever 💜,299,454,i love bts so much! kpop forever 💜,0.375,positif
84,2023-10-10,exolegend,I love BTS so much! KPOP forever 💜,427,58,i love bts so much! kpop forever 💜,0.375,positif
85,2023-01-04,neverland,BTS paved the way #Army,617,357,bts paved the way #army,0.0,netral
86,2023-03-06,fearless,Idle rising so strong #Neverland,259,91,idle rising so strong #neverland,0.43333333333333335,positif
87,2023-03-22,moaarmy,"Enhypen growing so fast, proud! #ENGENE",558,368,"enhypen growing so fast, proud! #engene",0.6,positif
88,2023-11-26,midzy,SHINee forever kings #Shawol,810,151,shinee forever kings #shawol,0.0,netral
89,2023-05-24,fearless,BLACKPINK in your area! 💖,346,467,blackpink in your area! 💖,0.0,netral
90,2023-05-19,engene,SHINee forever kings #Shawol,947,283,shinee forever kings #shawol,0.0,netral
91,2023-06-22,orbitluv,Seventeen world tour is amazing! #CARAT,599,213,seventeen world tour is amazing! #carat,0.7500000000000001,positif
92,2023-10-31,armylover,TXT are the future of KPOP 💙,797,130,txt are the future of kpop 💙,0.0,netral
93,2023-09-19,oncefan,BTS x BLACKPINK collab dream? 😱,766,388,bts x blackpink collab dream? 😱,0.0,netral
94,2023-03-02,blinkqueen,Twice performance is so powerful #ONCE,399,223,twice performance is so powerful #once,0.3,positif
95,2023-11-01,vipfan,LOONA legends #Orbit,726,204,loona legends #orbit,0.0,netral
96,2023-12-27,blinkqueen,BLACKPINK in your area! 💖,216,43,blackpink in your area! 💖,0.0,netral
97,2023-02-23,exolegend,Seventeen world tour is amazing! #CARAT,498,302,seventeen world tour is amazing! #carat,0.7500000000000001,positif
98,2023-07-31,neverland,GFriend songs always touch my heart 💕,442,191,gfriend songs always touch my heart 💕,0.0,netral
99,2023-05-28,midzy,BLACKPINK in your area! 💖,908,213,blackpink in your area! 💖,0.0,netral
100,2023-04-24,stayforever,BTS paved the way #Army,309,387,bts paved the way #army,0.0,netral
101,2023-04-14,engene,GFriend songs always touch my heart 💕,927,230,gfriend songs always touch my heart 💕,0.0,netral
102,2023-12-21,engene,Stray Kids are dominating the stage! #STAY,226,430,stray kids are dominating the stage! #stay,0.0,netral
103,2023-08-30,neverland,Seventeen world tour is amazing! #CARAT,903,323,seventeen world tour is amazing! #carat,0.7500000000000001,positif
104,2023-05-15,orbitluv,BLACKPINK in your area! 💖,97,413,blackpink in your area! 💖,0.0,netral
105,2023-07-06,blinkqueen,SHINee forever kings #Shawol,289,41,shinee forever kings #shawol,0.0,netral
106,2023-12-04,reveluv,BTS paved the way #Army,697,391,bts paved the way #army,0.0,netral
107,2023-07-25,armylover,BLACKPINK in your area! 💖,259,57,blackpink in your area! 💖,0.0,netral
108,2023-11-05,caratdiamond,Seventeen world tour is amazing! #CARAT,622,92,seventeen world tour is amazing! #carat,0.7500000000000001,positif
109,2023-12-02,caratdiamond,BLACKPINK in your area! 💖,139,82,blackpink in your area! 💖,0.0,netral
110,2023-02-14,blinkqueen,LOONA legends #Orbit,107,364,loona legends #orbit,0.0,netral
111,2023-09-24,shawol,LOONA legends #Orbit,401,402,loona legends #orbit,0.0,netral
112,2023-11-28,armyblink,LOONA legends #Orbit,975,380,loona legends #orbit,0.0,netral
113,2023-03-26,shawol,Itzy charisma is no joke #MIDZY,591,24,itzy charisma is no joke #midzy,0.0,netral
114,2023-05-13,moaarmy,Idle rising so strong #Neverland,703,439,idle rising so strong #neverland,0.43333333333333335,positif
115,2023-02-12,moaarmy,GFriend songs always touch my heart 💕,855,375,gfriend songs always touch my heart 💕,0.0,netral
116,2023-04-08,armylover,BIGBANG changed KPOP industry #VIP,983,195,bigbang changed kpop industry #vip,0.0,netral
117,2023-06-27,engene,Red Velvet vocals are insane 🎶 #ReVeluv,151,131,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
118,2023-06-25,fearless,I love BTS so much! KPOP forever 💜,928,105,i love bts so much! kpop forever 💜,0.375,positif
119,2023-07-08,vipfan,Twice performance is so powerful #ONCE,846,156,twice performance is so powerful #once,0.3,positif
120,2023-10-07,buddyfan,Idle rising so strong #Neverland,557,472,idle rising so strong #neverland,0.43333333333333335,positif
121,2023-04-24,armylover,"Enhypen growing so fast, proud! #ENGENE",617,301,"enhypen growing so fast, proud! #engene",0.6,positif
122,2023-06-05,shawol,BIGBANG changed KPOP industry #VIP,289,179,bigbang changed kpop industry #vip,0.0,netral
123,2023-03-26,armyblink,I love BTS so much! KPOP forever 💜,87,121,i love bts so much! kpop forever 💜,0.375,positif
124,2023-02-20,blinkkpop,Stray Kids are dominating the stage! #STAY,59,309,stray kids are dominating the stage! #stay,0.0,netral
125,2023-08-24,blinkqueen,TXT are the future of KPOP 💙,569,185,txt are the future of kpop 💙,0.0,netral
126,2023-04-27,stayforever,BLACKPINK in your area! 💖,875,351,blackpink in your area! 💖,0.0,netral
127,2023-06-01,armyblink,BLACKPINK just dropped a new MV 🔥 #KPOP,897,79,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
128,2023-03-15,vipfan,BLACKPINK in your area! 💖,327,449,blackpink in your area! 💖,0.0,netral
129,2023-01-12,stayforever,Twice performance is so powerful #ONCE,372,429,twice performance is so powerful #once,0.3,positif
130,2023-05-04,armyforever,BIGBANG changed KPOP industry #VIP,696,112,bigbang changed kpop industry #vip,0.0,netral
131,2023-12-10,neverland,Red Velvet vocals are insane 🎶 #ReVeluv,125,397,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
132,2023-01-02,fearless,Seventeen world tour is amazing! #CARAT,155,325,seventeen world tour is amazing! #carat,0.7500000000000001,positif
133,2023-08-15,orbitluv,Twice performance is so powerful #ONCE,760,340,twice performance is so powerful #once,0.3,positif
134,2023-12-20,moaarmy,LOONA legends #Orbit,133,490,loona legends #orbit,0.0,netral
135,2023-04-18,caratdiamond,BIGBANG changed KPOP industry #VIP,402,450,bigbang changed kpop industry #vip,0.0,netral
136,2023-04-26,oncefan,BIGBANG changed KPOP industry #VIP,738,49,bigbang changed kpop industry #vip,0.0,netral
137,2023-05-28,armylover,LE SSERAFIM slaying stages #FEARLESS,543,353,le sserafim slaying stages #fearless,0.0,netral
138,2023-01-09,fearless,LOONA legends #Orbit,696,422,loona legends #orbit,0.0,netral
139,2023-06-29,nctzenlife,"Enhypen growing so fast, proud! #ENGENE",266,69,"enhypen growing so fast, proud! #engene",0.6,positif
140,2023-07-07,armyforever,LOONA legends #Orbit,983,217,loona legends #orbit,0.0,netral
141,2023-06-07,oncefan,Seventeen world tour is amazing! #CARAT,991,412,seventeen world tour is amazing! #carat,0.7500000000000001,positif
142,2023-10-05,midzy,LOONA legends #Orbit,629,214,loona legends #orbit,0.0,netral
143,2023-05-19,blinkqueen,TXT are the future of KPOP 💙,717,368,txt are the future of kpop 💙,0.0,netral
144,2023-04-15,nctzenlife,Twice performance is so powerful #ONCE,822,312,twice performance is so powerful #once,0.3,positif
145,2023-03-10,armylover,BTS paved the way #Army,200,109,bts paved the way #army,0.0,netral
146,2023-09-18,orbitluv,Itzy charisma is no joke #MIDZY,95,443,itzy charisma is no joke #midzy,0.0,netral
147,2023-05-10,stayforever,LE SSERAFIM slaying stages #FEARLESS,231,258,le sserafim slaying stages #fearless,0.0,netral
148,2023-08-26,armyforever,Idle rising so strong #Neverland,408,225,idle rising so strong #neverland,0.43333333333333335,positif
149,2023-06-26,vipfan,Itzy charisma is no joke #MIDZY,947,102,itzy charisma is no joke #midzy,0.0,netral
150,2023-06-20,vipfan,EXO still kings of KPOP 🔥,574,153,exo still kings of kpop 🔥,0.0,netral
151,2023-05-18,reveluv,Twice performance is so powerful #ONCE,855,69,twice performance is so powerful #once,0.3,positif
152,2023-03-29,reveluv,BTS x BLACKPINK collab dream? 😱,576,461,bts x blackpink collab dream? 😱,0.0,netral
153,2023-07-07,blinkqueen,Idle rising so strong #Neverland,628,468,idle rising so strong #neverland,0.43333333333333335,positif
154,2023-03-19,exolegend,GFriend songs always touch my heart 💕,837,260,gfriend songs always touch my heart 💕,0.0,netral
155,2023-07-16,moaarmy,LE SSERAFIM slaying stages #FEARLESS,242,49,le sserafim slaying stages #fearless,0.0,netral
156,2023-02-05,engene,NCT comeback soon! Can't wait 😍,279,256,nct comeback soon! can't wait 😍,0.0,netral
157,2023-10-15,buddyfan,Twice performance is so powerful #ONCE,618,211,twice performance is so powerful #once,0.3,positif
158,2023-08-08,vipfan,EXO still kings of KPOP 🔥,457,41,exo still kings of kpop 🔥,0.0,netral
159,2023-04-27,exolegend,EXO still kings of KPOP 🔥,301,28,exo still kings of kpop 🔥,0.0,netral
160,2023-01-04,caratdiamond,BLACKPINK just dropped a new MV 🔥 #KPOP,659,97,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
161,2023-03-13,blinkqueen,EXO still kings of KPOP 🔥,683,447,exo still kings of kpop 🔥,0.0,netral
162,2023-09-02,moaarmy,GFriend songs always touch my heart 💕,229,371,gfriend songs always touch my heart 💕,0.0,netral
163,2023-06-30,shawol,Twice performance is so powerful #ONCE,190,425,twice performance is so powerful #once,0.3,positif
164,2023-11-14,armyforever,BTS x BLACKPINK collab dream? 😱,431,259,bts x blackpink collab dream? 😱,0.0,netral
165,2023-12-17,stayforever,BLACKPINK in your area! 💖,700,414,blackpink in your area! 💖,0.0,netral
166,2023-08-10,neverland,Seventeen world tour is amazing! #CARAT,365,424,seventeen world tour is amazing! #carat,0.7500000000000001,positif
167,2023-07-14,shawol,"Enhypen growing so fast, proud! #ENGENE",739,287,"enhypen growing so fast, proud! #engene",0.6,positif
168,2023-03-14,reveluv,EXO still kings of KPOP 🔥,345,161,exo still kings of kpop 🔥,0.0,netral
169,2023-06-26,armyforever,I love BTS so much! KPOP forever 💜,462,465,i love bts so much! kpop forever 💜,0.375,positif
170,2023-03-01,reveluv,Seventeen world tour is amazing! #CARAT,378,216,seventeen world tour is amazing! #carat,0.7500000000000001,positif
171,2023-04-22,caratdiamond,GFriend songs always touch my heart 💕,471,373,gfriend songs always touch my heart 💕,0.0,netral
172,2023-05-31,fearless,GFriend songs always touch my heart 💕,135,63,gfriend songs always touch my heart 💕,0.0,netral
173,2023-10-17,caratdiamond,SHINee forever kings #Shawol,562,69,shinee forever kings #shawol,0.0,netral
174,2023-04-07,stayforever,SHINee forever kings #Shawol,916,359,shinee forever kings #shawol,0.0,netral
175,2023-06-15,vipfan,"Enhypen growing so fast, proud! #ENGENE",533,402,"enhypen growing so fast, proud! #engene",0.6,positif
176,2023-07-03,caratdiamond,EXO still kings of KPOP 🔥,741,59,exo still kings of kpop 🔥,0.0,netral
177,2023-01-13,buddyfan,BLACKPINK just dropped a new MV 🔥 #KPOP,723,337,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
178,2023-11-12,exolegend,BTS paved the way #Army,124,38,bts paved the way #army,0.0,netral
179,2023-07-26,exolegend,I love BTS so much! KPOP forever 💜,467,56,i love bts so much! kpop forever 💜,0.375,positif
180,2023-02-10,fearless,I love BTS so much! KPOP forever 💜,306,170,i love bts so much! kpop forever 💜,0.375,positif
181,2023-04-15,midzy,Seventeen world tour is amazing! #CARAT,809,426,seventeen world tour is amazing! #carat,0.7500000000000001,positif
182,2023-05-20,armyblink,Itzy charisma is no joke #MIDZY,554,82,itzy charisma is no joke #midzy,0.0,netral
183,2023-11-06,shawol,BLACKPINK in your area! 💖,256,381,blackpink in your area! 💖,0.0,netral
184,2023-05-16,oncefan,Itzy charisma is no joke #MIDZY,438,163,itzy charisma is no joke #midzy,0.0,netral
185,2023-01-09,shawol,Red Velvet vocals are insane 🎶 #ReVeluv,107,370,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
186,2023-05-15,oncefan,GFriend songs always touch my heart 💕,484,53,gfriend songs always touch my heart 💕,0.0,netral
187,2023-09-26,exolegend,BLACKPINK in your area! 💖,71,19,blackpink in your area! 💖,0.0,netral
188,2023-09-07,moaarmy,BTS paved the way #Army,154,196,bts paved the way #army,0.0,netral
189,2023-11-20,armylover,TXT are the future of KPOP 💙,750,269,txt are the future of kpop 💙,0.0,netral
190,2023-01-12,armyforever,Seventeen world tour is amazing! #CARAT,702,136,seventeen world tour is amazing! #carat,0.7500000000000001,positif
191,2023-05-09,shawol,LOONA legends #Orbit,585,187,loona legends #orbit,0.0,netral
192,2023-02-28,armyblink,Twice performance is so powerful #ONCE,502,143,twice performance is so powerful #once,0.3,positif
193,2023-12-18,armyforever,Twice performance is so powerful #ONCE,538,357,twice performance is so powerful #once,0.3,positif
194,2023-10-19,fearless,BTS x BLACKPINK collab dream? 😱,546,129,bts x blackpink collab dream? 😱,0.0,netral
195,2023-07-12,oncefan,EXO still kings of KPOP 🔥,870,320,exo still kings of kpop 🔥,0.0,netral
196,2023-06-24,armyblink,LE SSERAFIM slaying stages #FEARLESS,612,148,le sserafim slaying stages #fearless,0.0,netral
197,2023-06-05,nctzenlife,LE SSERAFIM slaying stages #FEARLESS,425,67,le sserafim slaying stages #fearless,0.0,netral
198,2023-07-09,exolegend,Itzy charisma is no joke #MIDZY,332,273,itzy charisma is no joke #midzy,0.0,netral
199,2023-09-05,shawol,Stray Kids are dominating the stage! #STAY,576,195,stray kids are dominating the stage! #stay,0.0,netral
200,2023-11-29,neverland,Idle rising so strong #Neverland,369,375,idle rising so strong #neverland,0.43333333333333335,positif
201,2023-08-23,engene,Stray Kids are dominating the stage! #STAY,429,243,stray kids are dominating the stage! #stay,0.0,netral
202,2023-06-11,neverland,I love BTS so much! KPOP forever 💜,474,253,i love bts so much! kpop forever 💜,0.375,positif
203,2023-11-23,buddyfan,"Enhypen growing so fast, proud! #ENGENE",193,107,"enhypen growing so fast, proud! #engene",0.6,positif
204,2023-08-22,midzy,Stray Kids are dominating the stage! #STAY,762,348,stray kids are dominating the stage! #stay,0.0,netral
205,2023-11-15,armyblink,Red Velvet vocals are insane 🎶 #ReVeluv,648,428,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
206,2023-06-12,blinkqueen,LE SSERAFIM slaying stages #FEARLESS,249,378,le sserafim slaying stages #fearless,0.0,netral
207,2023-04-18,armyforever,NCT comeback soon! Can't wait 😍,629,390,nct comeback soon! can't wait 😍,0.0,netral
208,2023-01-13,reveluv,GFriend songs always touch my heart 💕,302,410,gfriend songs always touch my heart 💕,0.0,netral
209,2023-08-15,nctzenlife,BLACKPINK just dropped a new MV 🔥 #KPOP,473,365,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
210,2023-01-18,exolegend,Twice performance is so powerful #ONCE,483,445,twice performance is so powerful #once,0.3,positif
211,2023-09-12,midzy,Idle rising so strong #Neverland,665,402,idle rising so strong #neverland,0.43333333333333335,positif
212,2023-04-24,armylover,SHINee forever kings #Shawol,351,215,shinee forever kings #shawol,0.0,netral
213,2023-08-21,exolegend,I love BTS so much! KPOP forever 💜,504,279,i love bts so much! kpop forever 💜,0.375,positif
214,2023-07-04,engene,Red Velvet vocals are insane 🎶 #ReVeluv,853,186,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
215,2023-12-19,moaarmy,EXO still kings of KPOP 🔥,189,117,exo still kings of kpop 🔥,0.0,netral
216,2023-08-16,armylover,GFriend songs always touch my heart 💕,591,309,gfriend songs always touch my heart 💕,0.0,netral
217,2023-03-14,engene,BTS x BLACKPINK collab dream? 😱,808,273,bts x blackpink collab dream? 😱,0.0,netral
218,2023-01-23,blinkqueen,Seventeen world tour is amazing! #CARAT,577,172,seventeen world tour is amazing! #carat,0.7500000000000001,positif
219,2023-02-24,blinkkpop,NCT comeback soon! Can't wait 😍,747,382,nct comeback soon! can't wait 😍,0.0,netral
220,2023-03-26,oncefan,LE SSERAFIM slaying stages #FEARLESS,792,337,le sserafim slaying stages #fearless,0.0,netral
221,2023-02-16,oncefan,LE SSERAFIM slaying stages #FEARLESS,629,179,le sserafim slaying stages #fearless,0.0,netral
222,2023-04-25,nctzenlife,BIGBANG changed KPOP industry #VIP,215,450,bigbang changed kpop industry #vip,0.0,netral
223,2023-12-08,vipfan,Itzy charisma is no joke #MIDZY,806,270,itzy charisma is no joke #midzy,0.0,netral
224,2023-01-14,caratdiamond,Seventeen world tour is amazing! #CARAT,360,389,seventeen world tour is amazing! #carat,0.7500000000000001,positif
225,2023-03-11,fearless,BIGBANG changed KPOP industry #VIP,543,238,bigbang changed kpop industry #vip,0.0,netral
226,2023-11-20,armyforever,LOONA legends #Orbit,390,244,loona legends #orbit,0.0,netral
227,2023-04-28,buddyfan,SHINee forever kings #Shawol,632,295,shinee forever kings #shawol,0.0,netral
228,2023-12-23,blinkkpop,Seventeen world tour is amazing! #CARAT,811,433,seventeen world tour is amazing! #carat,0.7500000000000001,positif
229,2023-10-15,orbitluv,GFriend songs always touch my heart 💕,91,454,gfriend songs always touch my heart 💕,0.0,netral
230,2023-08-07,caratdiamond,GFriend songs always touch my heart 💕,444,225,gfriend songs always touch my heart 💕,0.0,netral
231,2023-05-10,neverland,LOONA legends #Orbit,432,471,loona legends #orbit,0.0,netral
232,2023-08-24,nctzenlife,GFriend songs always touch my heart 💕,970,346,gfriend songs always touch my heart 💕,0.0,netral
233,2023-07-10,neverland,BTS x BLACKPINK collab dream? 😱,308,202,bts x blackpink collab dream? 😱,0.0,netral
234,2023-04-12,buddyfan,BIGBANG changed KPOP industry #VIP,89,411,bigbang changed kpop industry #vip,0.0,netral
235,2023-11-07,stayforever,Twice performance is so powerful #ONCE,406,307,twice performance is so powerful #once,0.3,positif
236,2023-03-05,engene,I love BTS so much! KPOP forever 💜,314,329,i love bts so much! kpop forever 💜,0.375,positif
237,2023-08-08,armyforever,BLACKPINK just dropped a new MV 🔥 #KPOP,376,429,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
238,2023-08-17,vipfan,BLACKPINK just dropped a new MV 🔥 #KPOP,109,10,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
239,2023-10-12,vipfan,Itzy charisma is no joke #MIDZY,658,257,itzy charisma is no joke #midzy,0.0,netral
240,2023-04-25,armyblink,Red Velvet vocals are insane 🎶 #ReVeluv,832,272,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
